1880,Mary,F,7065
1880,Annie,F,1258
1880,Maude,F,858
1880,Catherine,F,688
1880,Eva,F,614
1880,Dora,F,524
1880,Ellen,F,411
1880,Mae,F,344
1880,Mollie,F,283
1880,Charlotte,F,237
1880,Matilda,F,210
1880,Estella,F,162
1880,Mildred,F,132
1880,Maria,F,125
1880,Inez,F,106
1880,Alta,F,91
1880,Isabel,F,81
1880,Alberta,F,76
1880,Hettie,F,69
1880,Johanna,F,64
1880,Bernice,F,59
1880,Lois,F,53
1880,Lina,F,49
1880,Verna,F,46
1880,Lily,F,41
1880,Rosalie,F,39
1880,Bridget,F,35
1880,Cassie,F,33
1880,Zella,F,31
1880,Lorena,F,29
1880,Leora,F,28
1880,Frieda,F,26
1880,Hanna,F,25
1880,Leola,F,24
1880,Zoe,F,23
1880,Vivian,F,22
1880,Marietta,F,21
1880,Matie,F,20
1880,Lue,F,19
1880,Dona,F,18
1880,Neva,F,18
1880,Frankie,F,17
1880,Agatha,F,16
1880,Nan,F,16
1880,Louvenia,F,15
1880,Betsy,F,14
1880,Marcella,F,14
1880,Cathrine,F,13
1880,Kizzie,F,13
1880,Zada,F,13
1880,Easter,F,12
1880,Lotta,F,12
1880,Dorcas,F,11
1880,Izora,F,11
1880,Salome,F,11
1880,Birtie,F,10
1880,Hilma,F,10
1880,Paulina,F,10
1880,Althea,F,9
1880,Dell,F,9
1880,Etha,F,9
1880,Leda,F,9
1880,Paula,F,9
1880,Arizona,F,8
1880,Elena,F,8
1880,Irena,F,8
1880,Media,F,8
1880,Shirley,F,8
1880,Alyce,F,7
1880,Doshie,F,7
1880,Gina,F,7
1880,Leitha,F,7
1880,Olie,F,7
1880,Tilda,F,7
1880,Alda,F,6
1880,Bama,F,6
1880,Classie,F,6
1880,Ednah,F,6
1880,Faith,F,6
1880,Jennette,F,6
1880,Lillis,F,6
1880,Mima,F,6
1880,Robbie,F,6
1880,Viney,F,6
1880,Ana,F,5
1880,Cordella,F,5
1880,Elvina,F,5
1880,Gwendolyn,F,5
1880,Juana,F,5
1880,Lollie,F,5
1880,Manuela,F,5
1880,Omie,F,5
1880,Reta,F,5
1880,Tempie,F,5
1880,Vertie,F,5
1880,Henry,M,2444
1880,Louis,M,828
1880,Oscar,M,544
1880,Jacob,M,404
1880,Jim,M,345
1880,Charley,M,305
1880,Oliver,M,234
1880,Horace,M,199
1880,Warren,M,158
1880,Jerry,M,136
1880,Wesley,M,123
1880,Moses,M,111
1880,Melvin,M,103
1880,Jasper,M,98
1880,Reuben,M,92
1880,Irvin,M,86
1880,Owen,M,78
